date,cash,transaction_cost,market_value,total_value,position_pnl,trading_pnl,daily_pnl,margin
2015-09-24,16336996.756,0.0,-16658400.0,17169916.756,79200.0,0.0,79200.0,832920.0
2015-09-25,16355476.756,0.0,-16640800.0,17187516.756,17600.0,0.0,17600.0,832040.0
2015-09-28,16651156.756,0.0,-16359200.0,17469116.756,281600.0,0.0,281600.0,817960.0
2015-09-29,16891396.756,0.0,-16130400.0,17697916.756,228800.0,0.0,228800.0,806520.0
2015-09-30,17002276.756,0.0,-16024800.0,17803516.756,105600.0,0.0,105600.0,801240.0
2015-10-08,16956076.756,0.0,-16068800.0,17759516.756,-44000.0,0.0,-44000.0,803440.0
2015-10-09,17525012.189,1630.167,0.0,17525012.189,-228800.0,-4074.4,-234504.567,0.0
2015-10-12,17525012.189,0.0,0.0,17525012.189,0.0,0.0,0.0,0.0
2015-10-13,16643074.978,1751.176,-17516140.0,17518881.978,0.0,-4379.035,-6130.211,875807.0
2015-10-14,16723126.978,0.0,-17439900.0,17595121.978,76240.0,0.0,76240.0,871995.0
2015-10-15,16683100.978,0.0,-17478020.0,17557001.978,-38120.0,0.0,-38120.0,873901.0
2015-10-16,16723126.978,0.0,-17439900.0,17595121.978,38120.0,0.0,38120.0,871995.0
2015-10-19,16953276.478,0.0,-17220710.0,17814311.978,219190.0,0.0,219190.0,861035.5
2015-10-20,17013315.478,0.0,-17163530.0,17871491.978,57180.0,0.0,57180.0,858176.5
2015-10-21,16983295.978,0.0,-17192120.0,17842901.978,-28590.0,0.0,-28590.0,859606.0
2015-10-22,16973289.478,0.0,-17201650.0,17833371.978,-9530.0,0.0,-9530.0,860082.5
2015-10-23,17013315.478,0.0,-17163530.0,17871491.978,38120.0,0.0,38120.0,858176.5
2015-10-26,17013315.478,0.0,-17163530.0,17871491.978,0.0,0.0,0.0,858176.5
2015-10-27,16983295.978,0.0,-17192120.0,17842901.978,-28590.0,0.0,-28590.0,859606.0
2015-10-28,17103373.978,0.0,-17077760.0,17957261.978,114360.0,0.0,114360.0,853888.0
2015-10-29,17073354.478,0.0,-17106350.0,17928671.978,-28590.0,0.0,-28590.0,855317.5
2015-10-30,17203438.978,0.0,-16982460.0,18052561.978,123890.0,0.0,123890.0,849123.0
2015-11-02,17153406.478,0.0,-17030110.0,18004911.978,-47650.0,0.0,-47650.0,851505.5
2015-11-03,17233458.478,0.0,-16953870.0,18081151.978,76240.0,0.0,76240.0,847693.5
2015-11-04,17233458.478,0.0,-16953870.0,18081151.978,0.0,0.0,0.0,847693.5
2015-11-05,17232563.61,3386.962,-16925280.0,18078827.61,9530.0,-8467.405,-2324.367,846264.0
2015-11-06,17901303.296,1710.109,0.0,17901303.296,-171540.0,-4274.205,-177524.314,0.0
2015-11-09,17901303.296,0.0,0.0,17901303.296,0.0,0.0,0.0,0.0
2015-11-10,17000133.401,1789.365,-17898120.0,17895039.401,0.0,-4474.53,-6263.895,894906.0
2015-11-11,17209293.401,0.0,-17698920.0,18094239.401,199200.0,0.0,199200.0,884946.0
2015-11-12,17334789.401,0.0,-17579400.0,18213759.401,119520.0,0.0,119520.0,878970.0
2015-11-13,17397537.401,0.0,-17519640.0,18273519.401,59760.0,0.0,59760.0,875982.0
2015-11-16,17460285.401,0.0,-17459880.0,18333279.401,59760.0,0.0,59760.0,872994.0
2015-11-17,17470743.401,0.0,-17449920.0,18343239.401,9960.0,0.0,9960.0,872496.0
2015-11-18,17638071.401,0.0,-17290560.0,18502599.401,159360.0,0.0,159360.0,864528.0
2015-11-19,17962269.401,0.0,-16981800.0,18811359.401,308760.0,0.0,308760.0,849090.0
2015-11-20,18066849.401,0.0,-16882200.0,18910959.401,99600.0,0.0,99600.0,844110.0
2015-11-23,18443337.401,0.0,-16523640.0,19269519.401,358560.0,0.0,358560.0,826182.0
2015-11-24,18359673.401,0.0,-16603320.0,19189839.401,-79680.0,0.0,-79680.0,830166.0
2015-11-25,18265551.401,0.0,-16692960.0,19100199.401,-89640.0,0.0,-89640.0,834648.0
2015-11-26,18223719.401,0.0,-16732800.0,19060359.401,-39840.0,0.0,-39840.0,836640.0
2015-11-27,18474711.401,0.0,-16493760.0,19299399.401,239040.0,0.0,239040.0,824688.0
2015-11-30,18788451.401,0.0,-16194960.0,19598199.401,298800.0,0.0,298800.0,809748.0
2015-12-01,18715245.401,0.0,-16264680.0,19528479.401,-69720.0,0.0,-69720.0,813234.0
2015-12-02,19263735.714,1652.777,0.0,19263735.714,-258960.0,-4130.91,-264743.687,0.0
2015-12-03,19263735.714,0.0,0.0,19263735.714,0.0,0.0,0.0,0.0
2015-12-04,18294221.77,1925.069,-19255500.0,19256996.77,0.0,-4813.875,-6738.944,962775.0
2015-12-07,19016775.168,1949.377,0.0,19016775.168,-233400.0,-4872.225,-240221.602,0.0
2015-12-08,19016775.168,0.0,0.0,19016775.168,0.0,0.0,0.0,0.0
2015-12-09,18059577.835,1900.613,-19010880.0,19010121.835,0.0,-4752.72,-6653.333,950544.0
2015-12-10,18156009.835,0.0,-18919040.0,19101961.835,91840.0,0.0,91840.0,945952.0
2015-12-11,18035469.835,0.0,-19033840.0,18987161.835,-114800.0,0.0,-114800.0,951692.0
2015-12-14,17951091.835,0.0,-19114200.0,18906801.835,-80360.0,0.0,-80360.0,955710.0
2015-12-15,18047523.835,0.0,-19022360.0,18998641.835,91840.0,0.0,91840.0,951118.0
2015-12-16,17861431.189,3802.006,18804520.0,18801657.189,-183680.0,-9502.64,-196984.646,940226.0
2015-12-17,17904143.189,0.0,18849480.0,18846617.189,44960.0,0.0,44960.0,942474.0
2015-12-18,18277873.189,0.0,19242880.0,19240017.189,393400.0,0.0,393400.0,962144.0
2015-12-21,18672959.189,0.0,19658760.0,19655897.189,415880.0,0.0,415880.0,982938.0
2015-12-22,19446767.922,1945.158,0.0,19446767.922,-202320.0,-4864.11,-209129.268,0.0
2015-12-23,19446767.922,0.0,0.0,19446767.922,0.0,0.0,0.0,0.0
2015-12-24,18467625.083,1945.158,19446720.0,19439961.083,0.0,-4861.68,-6806.838,972336.0
2015-12-25,18606933.083,0.0,19593360.0,19586601.083,146640.0,0.0,146640.0,979668.0
2015-12-28,18649797.083,0.0,19638480.0,19631721.083,45120.0,0.0,45120.0,981924.0
2015-12-29,19067721.083,0.0,20078400.0,20071641.083,439920.0,0.0,439920.0,1003920.0
2015-12-30,19067721.083,0.0,20078400.0,20071641.083,0.0,0.0,0.0,1003920.0
